,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1,2021-01-10 11:00:00,39671.82000000,39757.55000000,35111.11000000,38150.02000000,61240.28967200,1610323199999,2315975502.18499089,1216665,28820.29491300,1090375506.33602074
2,2021-01-10 19:00:00,38150.02000000,38264.74000000,32538.00000000,34375.34000000,82425.88288300,1610351999999,2891436500.17782207,1501473,40004.36843400,1405072745.82884530
0,2021-01-11 03:00:00,34372.25000000,36360.00000000,31115.00000000,31580.00000000,82592.46665300,1610380799999,2785566541.69423161,1425930,40618.07069200,1370108292.40673933
1,2021-01-11 11:00:00,31582.82000000,35638.55000000,30420.00000000,35404.47000000,84113.19040700,1610409599999,2749876728.86795683,1504048,41510.96706400,1357935244.70971701
2,2021-01-11 19:00:00,35410.37000000,36628.00000000,33677.03000000,36413.60000000,41976.98745600,1610438399999,1477331552.12381012,865984,21126.99566900,743636185.57515504
0,2021-01-12 03:00:00,36413.60000000,36499.98000000,32531.00000000,33829.40000000,53060.12885500,1610467199999,1835500482.77181628,982213,25247.93875100,873527431.95443834
1,2021-01-12 11:00:00,33829.40000000,35550.00000000,33260.74000000,34051.24000000,38911.03568500,1610495999999,1338470388.58848995,825948,18723.37577600,644568861.30045823
2,2021-01-12 19:00:00,34049.15000000,35180.67000000,32380.00000000,34986.90000000,46171.29329900,1610524799999,1545618020.56772631,871503,23520.32533500,788234104.37939923
0,2021-01-13 03:00:00,34986.90000000,35250.00000000,34017.00000000,34673.90000000,37314.13967600,1610553599999,1292705149.39122311,760351,18978.09898200,657832344.22661669
1,2021-01-13 11:00:00,34673.90000000,37850.00000000,34388.53000000,37371.38000000,40992.48196300,1610582399999,1484553436.46067644,882435,21482.61398900,776806242.76589614
2,2021-01-13 19:00:00,37371.38000000,38596.92000000,36701.23000000,38198.34000000,31902.82887100,1610611199999,1201793656.36625895,675030,16065.85110800,605480613.85681094
0,2021-01-14 03:00:00,38199.52000000,40100.00000000,37707.00000000,39546.01000000,39635.00645100,1610639999999,1540427978.20147722,890247,19231.86894100,747315425.58421629
1,2021-01-14 11:00:00,39546.01000000,40000.00000000,38259.25000000,39144.50000000,31412.55409900,1610668799999,1232605003.57735257,732189,15966.74704300,626646553.60897223
2,2021-01-14 19:00:00,39145.21000000,39747.76000000,37554.94000000,38473.08000000,27291.54772000,1610697599999,1056126703.78019396,624899,13062.47593000,505715004.08496519
0,2021-01-15 03:00:00,38473.07000000,38780.00000000,35258.00000000,35610.72000000,40552.83954700,1610726399999,1514530074.77290214,907531,19912.77224600,743721666.94998313
1,2021-01-15 11:00:00,35610.79000000,36888.00000000,34408.00000000,36742.22000000,50456.53364900,1610755199999,1800932120.12854043,1028371,24762.78604400,884287141.72491391
2,2021-01-15 19:00:00,36737.43000000,37669.00000000,35520.00000000,36574.86000000,28785.25026600,1610783999999,1053684838.33311163,625461,14136.70705300,517866039.75044745
0,2021-01-16 03:00:00,36565.74000000,37950.00000000,36375.88000000,37461.99000000,29451.23547900,1610812799999,1099596861.89091940,753223,14982.72696600,559520216.63959506
1,2021-01-16 11:00:00,37463.46000000,37713.94000000,35357.80000000,35994.98000000,28111.94576300,1610841599999,1025558635.92525347,687679,13300.98971700,485773865.62129186
2,2021-01-16 19:00:00,35994.98000000,36744.05000000,34518.04000000,34760.90000000,24608.90587700,1610870399999,879809478.73280059,599914,11512.87695900,412182677.33880825
0,2021-01-17 03:00:00,34760.91000000,35973.89000000,33850.00000000,35728.47000000,34862.31141500,1610899199999,1216905890.09412592,727832,17182.92369500,600062995.18708435
1,2021-01-17 11:00:00,35728.47000000,36852.50000000,35506.00000000,35828.61000000,20686.51009200,1610927999999,746387671.41373754,532896,10817.83790700,390402960.32533200
2,2021-01-17 19:00:00,35824.99000000,36278.68000000,34800.00000000,36104.61000000,22796.78884400,1610956799999,811003641.14019043,518459,10361.08097700,368905789.77829443
0,2021-01-18 03:00:00,36100.55000000,37469.83000000,35771.60000000,36405.98000000,29825.67451400,1610985599999,1092175658.08956295,677822,16173.21343900,592641844.84658908
1,2021-01-18 11:00:00,36405.99000000,36777.77000000,35400.00000000,36631.27000000,18075.65539200,1611014399999,651663961.29464559,511485,9087.21163200,327799552.54164541
2,2021-01-18 19:00:00,36622.46000000,37280.00000000,36002.01000000,37168.82000000,26631.61479400,1611043199999,977701255.86146672,604538,13559.38733900,498129744.03942877
0,2021-01-19 03:00:00,37167.92000000,37535.27000000,36610.00000000,37329.40000000,27137.44220400,1611071999999,1007306002.27834348,617615,13018.94650300,483425655.14981013
1,2021-01-19 11:00:00,37329.40000000,37850.00000000,35844.06000000,35891.49000000,25842.25077100,1611100799999,950341241.20440386,717218,12126.34777800,446680310.66273042
2,2021-01-19 19:00:00,35901.94000000,36415.31000000,34737.00000000,35677.14000000,27784.09567100,1611129599999,988329637.58501226,685794,12807.15655400,455936291.74175113
0,2021-01-20 03:00:00,35672.86000000,35939.12000000,34000.00000000,34192.17000000,35219.51091800,1611158399999,1223655878.82658312,874864,16766.37928700,582672210.17568974
1,2021-01-20 11:00:00,34193.11000000,35670.00000000,33400.00000000,35468.23000000,26364.81632900,1611187199999,914735577.10918084,673881,12973.09823600,450681466.51902926
2,2021-01-20 19:00:00,35468.23000000,35600.00000000,33971.41000000,34624.27000000,22640.74406800,1611215999999,784784340.30800910,583563,10879.91944700,377246243.63899496
0,2021-01-21 03:00:00,34624.27000000,34681.73000000,31037.00000000,31384.09000000,63467.53731800,1611244799999,2055000362.24715716,1271096,30026.25087500,971807144.77014877
1,2021-01-21 11:00:00,31384.19000000,32751.24000000,30071.00000000,30850.13000000,45694.90154000,1611273599999,1441435871.38026366,966093,20899.79120100,660336432.80361605
2,2021-01-21 19:00:00,30851.99000000,32152.90000000,28850.00000000,30842.45000000,69586.21886900,1611302399999,2115983437.43907042,1179458,32833.10894600,997904161.84542649
0,2021-01-22 03:00:00,30846.59000000,32767.44000000,30500.00000000,32458.42000000,43652.94468200,1611331199999,1386902108.55914621,883857,22313.71960300,708676342.14007544
1,2021-01-22 11:00:00,32462.79000000,33826.53000000,31955.67000000,32945.17000000,29732.52049800,1611359999999,980410326.02405605,644495,15003.35990600,494581066.51316883
2,2021-01-22 19:00:00,32950.00000000,33456.00000000,32053.33000000,32931.18000000,23676.03872100,1611388799999,774266387.70606924,581900,12276.01219100,401425776.89463370
