,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2,2021-01-13 19:00:00,1129.79000000,1162.57000000,1086.70000000,1148.00000000,476549.20091000,1610611199999,535953392.93255730,353560,249445.69175000,280787695.40095930
0,2021-01-14 03:00:00,1147.85000000,1220.63000000,1141.78000000,1212.80000000,569692.49240000,1610639999999,671241388.71987410,426855,291030.84029000,343084504.48753120
1,2021-01-14 11:00:00,1212.99000000,1247.55000000,1163.68000000,1231.62000000,509495.69225000,1610668799999,618666132.52136410,475354,253929.43239000,308582504.21287850
2,2021-01-14 19:00:00,1231.89000000,1256.98000000,1175.41000000,1240.97000000,539533.84619000,1610697599999,659646973.03666150,477032,279132.39648000,341531936.12302560
0,2021-01-15 03:00:00,1240.99000000,1247.88000000,1126.44000000,1141.52000000,642536.41080000,1610726399999,774081467.28963060,476847,305620.24640000,368599456.12894640
1,2021-01-15 11:00:00,1141.66000000,1175.34000000,1069.42000000,1168.53000000,761968.58039000,1610755199999,869052678.63244730,565387,381366.08993000,435386632.23926020
2,2021-01-15 19:00:00,1168.48000000,1198.10000000,1151.77000000,1182.90000000,364904.07843000,1610783999999,429791053.77796040,300989,186367.84412000,219583059.60528960
0,2021-01-16 03:00:00,1182.88000000,1278.00000000,1177.00000000,1276.27000000,637636.99762000,1610812799999,781284909.76618100,489536,336946.21430000,413086078.88265490
1,2021-01-16 11:00:00,1276.29000000,1298.00000000,1200.00000000,1227.83000000,572843.36192000,1610841599999,716377211.06765170,461948,281117.10961000,351886328.60351540
2,2021-01-16 19:00:00,1227.83000000,1258.00000000,1170.00000000,1182.60000000,453981.93868000,1610870399999,553707630.25466570,366332,222114.04416000,271150423.40338880
0,2021-01-17 03:00:00,1182.45000000,1246.92000000,1165.00000000,1241.17000000,531193.05002000,1610899199999,640316787.10461470,408248,270831.93658000,326677815.55450700
1,2021-01-17 11:00:00,1241.35000000,1269.02000000,1210.54000000,1232.45000000,332110.01709000,1610927999999,412399947.13776140,346698,172304.52375000,214053704.49762960
2,2021-01-17 19:00:00,1232.50000000,1247.73000000,1182.58000000,1219.62000000,363086.04609000,1610956799999,440575624.99108760,360437,176649.88382000,214488770.33526020
0,2021-01-18 03:00:00,1219.68000000,1255.50000000,1209.00000000,1240.36000000,381786.76192000,1610985599999,471210608.27365010,348947,197777.82062000,244203259.86002620
1,2021-01-18 11:00:00,1240.21000000,1260.75000000,1211.66000000,1258.45000000,253177.30272000,1611014399999,311841807.47252300,231220,125331.53558000,154456475.37031990
2,2021-01-18 19:00:00,1258.52000000,1379.64000000,1251.49000000,1375.00000000,753854.26269000,1611043199999,994859052.41502800,577408,396654.49370000,523502336.07192290
0,2021-01-19 03:00:00,1374.73000000,1438.30000000,1362.77000000,1413.95000000,818584.99211000,1611071999999,1143288511.44517520,667598,418268.58042000,584319196.68471570
1,2021-01-19 11:00:00,1414.09000000,1437.59000000,1334.41000000,1365.36000000,706413.30278000,1611100799999,982833360.07010560,595475,343106.32881000,477972270.90412210
2,2021-01-19 19:00:00,1365.36000000,1407.93000000,1316.25000000,1369.92000000,617959.92340000,1611129599999,845430549.70913690,499271,307401.13306000,420730220.37988190
0,2021-01-20 03:00:00,1369.94000000,1373.46000000,1235.42000000,1273.29000000,1024285.77297000,1611158399999,1326385565.52381790,814061,492581.72764000,638287875.15066540
1,2021-01-20 11:00:00,1273.17000000,1389.42000000,1248.59000000,1376.99000000,576891.92507000,1611187199999,759840181.23404570,538921,303398.22690000,400013054.25930870
2,2021-01-20 19:00:00,1376.72000000,1390.00000000,1278.99000000,1309.62000000,509115.46086000,1611215999999,673924517.21807260,438521,246950.32216000,327070016.75730820
0,2021-01-21 03:00:00,1309.53000000,1312.38000000,1185.75000000,1188.68000000,1008119.53726000,1611244799999,1248792850.04029090,750636,486183.81911000,602498883.85847760
1,2021-01-21 11:00:00,1188.54000000,1238.90000000,1086.00000000,1110.96000000,736929.80553000,1611273599999,864295147.52260700,634301,355207.82691000,417283729.58729950
2,2021-01-21 19:00:00,1111.98000000,1189.00000000,1042.31000000,1143.58000000,985913.14319000,1611302399999,1104263862.52987320,801356,493744.58028000,553674121.61444660
0,2021-01-22 03:00:00,1143.57000000,1242.01000000,1121.49000000,1232.88000000,623841.18457000,1611331199999,744418991.21089370,471810,330173.18035000,394068614.97120450
1,2021-01-22 11:00:00,1233.14000000,1273.79000000,1214.87000000,1232.62000000,410838.88897000,1611359999999,511584977.57678770,378844,212271.09858000,264333866.88532110
2,2021-01-22 19:00:00,1232.61000000,1268.49000000,1205.70000000,1259.62000000,317798.78517000,1611388799999,392767254.83959090,336349,157560.09833000,194846823.79162070
